,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
554,Kontagora,NG,72.48,10.3999,5.4695,overcast clouds,Queens Guest Inn
556,Harpanahalli,IN,70.66,14.8,75.9833,overcast clouds,Pravasi Mandira (Ib)
563,Puri,IN,77.52,19.8,85.85,moderate rain,OYO 1577 Hotel Shree Hari Grand
564,Maine-Soroa,NE,83.55,13.2114,12.0241,few clouds,Complexe
566,Mandali,IQ,87.04,33.7499,45.5541,clear sky,قرئ الشيخ سحاب الندا
574,Ghatal,IN,76.42,22.6667,87.7167,few clouds,Mongal Bhawan
587,Diffa,NE,83.46,13.3154,12.6113,few clouds,ProDAF/Diffa
593,Batticaloa,LK,78.26,7.7102,81.6924,overcast clouds,Grand Star Guest House
597,Ruwi,OM,82.09,23.5996,58.5507,few clouds,Al Falaj Hotel
601,Turbat,PK,79.25,26.0023,63.044,clear sky,Mubashar Quarters
602,Barmer,IN,81.3,25.75,71.3833,broken clouds,Jain Dharamshala
606,Umm Kaddadah,SD,87.76,13.6017,26.6876,broken clouds,
608,La Trinite,MQ,84.85,14.7376,-60.9629,broken clouds,L'Appartement de la Baie
611,Pala,TD,72.81,9.3642,14.9046,light rain,Hotel Pala Palace
614,Diban,SY,81.41,35.0365,40.5167,clear sky,مساكن الشرطة بمدينة ذيبان
616,Bosobolo,CD,70.61,4.1833,19.9,overcast clouds,
617,Massakory,TD,82.98,12.996,15.7293,overcast clouds,Chabakari - Am Doukhan
619,Tema,GH,77.41,5.667,-0.0166,scattered clouds,Beulah Royale Hotel Tema
620,Veraval,IN,79.59,20.9,70.3667,broken clouds,Lords Inn Somnath
621,Susangerd,IR,84.88,31.5608,48.1831,clear sky,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
624,Negombo,LK,78.85,7.2083,79.8358,scattered clouds,Hotel Sunset Beach
626,Mailsi,PK,77.18,29.8003,72.1758,clear sky,Mian Lodge
627,Shush,IR,86.97,32.1942,48.2436,clear sky,
629,Rafraf,TN,71.92,37.1904,10.1837,light rain,
638,Malegaon,IN,75.38,20.55,74.5333,overcast clouds,
